Áreas	Prof	Coleta	Umidade	Areia	argila	silte	pH (CaCl2)	Potássio (Resina) mmol/dm³	Cálcio (Resina)mmol/dm³	Magnésio (Resina)mmol/dm³	Sódio (Mehlich)mmol/dm³	Matéria Orgânica (g/dm³)	Carbono Orgânico Total (g/dm³)	Acidez Total (mmolc/dm³)	Alumínio Trocável (mmolc/dm³)	Soma de bases (mmolc/dm³)	Saturação por bases %	Saturação por Al %	% de H° + Al ³ na C.T.C.
Terço Superior	1	1	35.7030615009482	614.000	210.000	177.000	4	1	3	5	0.6	19	11	61	9	9.6	14	48.39	86.4
Terço Superior	1	1	41.5264423076923	604.000	187.000	109.000	4	1.2	4	5	0.4	21	12	60	14	10.6	15	56.91	85
Terço Superior	1	1	34.9932632713554	636.000	207.000	157.000	4.1	2.9	5	6	0.5	23	13	54	9	14.4	21	38.46	79
Terço Superior	1	1	31.1149569960143	619.000	225.000	155.000	4.1	1.7	4	6	0.6	21	12	46	11	12.3	21	47.21	78.9
Terço Médio	1	1	19.9000238038562	296.000	475.000	229.000	4.1	4.9	4	4	0.3	9	5	55	13	13.2	19	49.62	80.7
Terço Médio	1	1	30.2780960316634	401.000	117.000	481.000	5	1.5	40	10	0.6	15	9	23	0	52.1	69	0	30.6
Terço Médio	1	1	28.0266775277467	549.000	221.000	228.000	4.5	2.2	27	13	0.9	21	12	36	1	43.1	54	2.27	45.5
Terço Médio	1	1	49.8624401913876	365.000	241.000	393.000	5.1	5.8	41	20	0.6	24	14	24	0	67.4	74	0	26.3
Terço Inferior	1	1	29.3115867462441	720.000	104.000	176.000	4.5	3.8	14	11	0.6	18	10	31	1	29.4	49	3.29	51.4
Terço Inferior	1	1	27.8855975485189	736.000	103.000	160.000	4.5	3.1	12	13	1.1	20	12	31	2	29.2	49	6.41	51.5
Terço Inferior	1	1	32.104957499604	654.000	183.000	161.000	4.5	2.9	10	8	0.6	16	9	29	2	21.5	43	8.51	57.5
Terço Inferior	1	1	26.8829722615914	644.000	225.000	131.000	4.8	2.6	12	8	0.3	14	8	21	4	22.9	52	14.87	47.8
Terço Superior	2	1	35.7697529188162	618.000	228.000	153.000	4	0.5	3	3	0.5	19	11	67	14	7	9	66.67	90.5
Terço Superior	2	1	27.970132460492	455.000	316.000	229.000	4	0.7	4	4	0.3	19	11	62	14	9	13	60.87	87.3
Terço Superior	2	1	26.0479342158043	669.000	190.000	140.000	4	1.8	3	3	0.6	19	11	64	13	8.4	12	60.75	88.4
Terço Superior	2	1	40.6379871953274	591.000	230.000	178.000	4	1.2	3	4	0.4	16	9	58	11	8.6	13	56.12	87.1
Terço Médio	2	1	28.7331480909746	325.000	544.000	130.000	4.3	1.5	12	6	0.4	8	5	33	8	19.9	38	28.67	62.4
Terço Médio	2	1	28.3254368536349	397.000	496.000	107.000	4.2	0.8	19	5	0.4	10	6	53	13	25.2	32	34.03	67.8
Terço Médio	2	1	27.2068878197012	703.000	160.000	136.000	4.2	0.5	13	7	1	12	7	46	11	21.5	32	33.85	68.2
Terço Médio	2	1	28.7471057370723	402.000	340.000	257.000	4.5	4.7	26	15	0.9	13	8	30	2	46.6	61	4.12	39.2
Terço Inferior	2	1	25.8854088615815	724.000	119.000	156.000	4.7	2.5	21	12	0.4	17	10	29	0	35.9	55	0	44.7
Terço Inferior	2	1	29.6480588814596	699.000	130.000	171.000	4	1.4	3	3	1.1	15	9	45	13	8.5	16	60.47	84.1
Terço Inferior	2	1	39.8457152440047	685.000	160.000	155.000	4.1	1.2	5	3	0.5	13	8	35	4	9.7	22	29.2	78.3
Terço Inferior	2	1	32.5581395348837	761.000	100.000	139.000	4.2	1.7	7	4	0.4	11	6	31	4	13.1	30	23.39	70.3
Terço Superior	1	2	13.960113960114																
Terço Superior	1	2	14.5475372279496																
Terço Superior	1	2	22.0256253813301																
Terço Superior	1	2	22.7747084100675																
Terço Médio	1	2	20.918984280532																
Terço Médio	1	2	23.0012300123001																
Terço Médio	1	2	25.1564455569462																
Terço Médio	1	2	24.4555071561917																
Terço Inferior	1	2	23.6093943139679																
Terço Inferior	1	2	22.8501228501228																
Terço Inferior	1	2	20.7729468599034																
Terço Inferior	1	2	26.4222503160556																
Terço Superior	2	2	12.4859392575928																
Terço Superior	2	2	16.6180758017493																
Terço Superior	2	2	24.7660636306924																
Terço Superior	2	2	15.0086256469235																
Terço Médio	2	2	20.9921355111918																
Terço Médio	2	2	20.4093919325707																
Terço Médio	2	2	23.9925604463732																
Terço Médio	2	2	22.7747084100675																
Terço Inferior	2	2	18.7648456057007																
Terço Inferior	2	2	19.4743130227001																
Terço Inferior	2	2	21.5066828675577																
Terço Inferior	2	2	22.3241590214067																

